timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,21.463,0.216
1,21.463,42.926,1.151
2,42.926,64.389,1.281
3,64.389,85.852,1.239
4,85.852,107.315,1.088
5,107.315,128.778,1.180
6,128.778,150.241,1.147
7,150.241,171.704,3.393
8,171.704,193.167,2.805
9,193.167,214.630,0.164
10,214.630,236.092,0.128
11,236.092,257.555,0.127
12,257.555,279.018,0.168
13,279.018,300.481,0.145
14,300.481,321.944,0.136
15,321.944,343.407,0.163
16,343.407,364.870,0.168
17,364.870,386.333,0.136
18,386.333,407.796,0.190
19,407.796,429.259,0.155
20,429.259,450.722,0.156
21,450.722,472.185,0.387
22,472.185,493.648,0.203
23,493.648,515.111,0.205
24,515.111,536.574,0.213
25,536.574,558.037,0.226
26,558.037,579.500,0.201
27,579.500,600.963,0.219
28,600.963,622.426,0.355
29,622.426,643.889,0.245
