timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,20.097,0.592
1,20.097,40.194,1.142
2,40.194,60.290,1.154
3,60.290,80.387,0.891
4,80.387,100.484,0.545
5,100.484,120.581,1.083
6,120.581,140.678,1.111
7,140.678,160.774,1.133
8,160.774,180.871,0.663
9,180.871,200.968,0.700
10,200.968,221.065,1.143
11,221.065,241.162,1.125
12,241.162,261.259,1.090
13,261.259,281.355,0.492
14,281.355,301.452,0.908
15,301.452,321.549,1.135
16,321.549,341.646,1.125
17,341.646,361.743,1.042
18,361.743,381.839,0.442
19,381.839,401.936,1.015
20,401.936,422.033,1.147
21,422.033,442.130,1.109
22,442.130,462.227,0.826
23,462.227,482.323,0.539
24,482.323,502.420,1.117
25,502.420,522.517,1.140
26,522.517,542.614,1.141
27,542.614,562.711,0.692
28,562.711,582.807,0.678
29,582.807,602.904,1.136
