timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,35.324,0.747
1,35.324,70.648,2.009
2,70.648,105.972,4.331
3,105.972,141.296,1.165
4,141.296,176.620,1.370
5,176.620,211.944,1.802
6,211.944,247.267,4.429
7,247.267,282.591,3.007
8,282.591,317.915,0.882
9,317.915,353.239,1.123
10,353.239,388.563,1.783
11,388.563,423.887,4.348
12,423.887,459.211,3.869
13,459.211,494.535,1.873
14,494.535,529.859,4.723
15,529.859,565.183,2.087
16,565.183,600.507,1.493
17,600.507,635.831,4.143
18,635.831,671.155,3.358
19,671.155,706.478,3.484
20,706.478,741.802,2.819
21,741.802,777.126,3.932
22,777.126,812.450,4.550
23,812.450,847.774,3.741
24,847.774,883.098,2.233
25,883.098,918.422,2.980
26,918.422,953.746,3.054
27,953.746,989.070,2.327
28,989.070,1024.394,2.627
29,1024.394,1059.718,2.116
