timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,30.274,3.002
1,30.274,60.549,3.550
2,60.549,90.823,3.549
3,90.823,121.098,3.730
4,121.098,151.372,3.722
5,151.372,181.647,3.785
6,181.647,211.921,3.796
7,211.921,242.196,3.803
8,242.196,272.470,3.755
9,272.470,302.745,3.862
10,302.745,333.019,3.741
11,333.019,363.294,3.785
12,363.294,393.568,3.628
13,393.568,423.842,3.756
14,423.842,454.117,3.823
15,454.117,484.391,3.599
16,484.391,514.666,3.821
17,514.666,544.940,2.826
18,544.940,575.215,3.327
19,575.215,605.489,3.503
20,605.489,635.764,3.455
21,635.764,666.038,3.499
22,666.038,696.313,3.662
23,696.313,726.587,3.488
24,726.587,756.862,3.667
25,756.862,787.136,3.627
26,787.136,817.410,3.499
27,817.410,847.685,3.647
28,847.685,877.959,3.463
29,877.959,908.234,3.520
