timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,38.194,0.911
1,38.194,76.389,0.954
2,76.389,114.583,0.959
3,114.583,152.777,0.963
4,152.777,190.972,0.956
5,190.972,229.166,0.958
6,229.166,267.361,0.967
7,267.361,305.555,0.960
8,305.555,343.749,0.957
9,343.749,381.944,0.964
10,381.944,420.138,0.963
11,420.138,458.332,0.970
12,458.332,496.527,0.967
13,496.527,534.721,0.953
14,534.721,572.916,0.967
15,572.916,611.110,0.967
16,611.110,649.304,0.968
17,649.304,687.499,0.963
18,687.499,725.693,0.945
19,725.693,763.887,0.985
20,763.887,802.082,0.972
21,802.082,840.276,0.963
22,840.276,878.471,0.964
23,878.471,916.665,0.964
24,916.665,954.859,0.958
25,954.859,993.054,0.969
26,993.054,1031.248,0.955
27,1031.248,1069.442,0.966
28,1069.442,1107.637,0.971
29,1107.637,1145.831,0.957
