timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,14.062,0.144
1,14.062,28.123,0.162
2,28.123,42.185,0.173
3,42.185,56.247,0.170
4,56.247,70.308,0.141
5,70.308,84.370,0.167
6,84.370,98.432,0.141
7,98.432,112.494,0.266
8,112.494,126.555,0.127
9,126.555,140.617,0.133
10,140.617,154.679,0.126
11,154.679,168.740,0.130
12,168.740,182.802,0.131
13,182.802,196.864,0.131
14,196.864,210.925,0.135
15,210.925,224.987,0.124
16,224.987,239.049,0.099
17,239.049,253.110,0.106
18,253.110,267.172,0.127
19,267.172,281.234,0.124
20,281.234,295.296,0.155
21,295.296,309.357,0.120
22,309.357,323.419,0.101
23,323.419,337.481,0.118
24,337.481,351.542,0.116
25,351.542,365.604,0.361
26,365.604,379.666,0.707
27,379.666,393.727,0.626
28,393.727,407.789,0.709
29,407.789,421.851,0.712
