timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,12.356,0.479
1,12.356,24.712,1.678
2,24.712,37.068,1.618
3,37.068,49.424,2.646
4,49.424,61.779,2.008
5,61.779,74.135,0.177
6,74.135,86.491,0.396
7,86.491,98.847,0.518
8,98.847,111.203,0.461
9,111.203,123.559,0.523
10,123.559,135.915,0.400
11,135.915,148.271,0.489
12,148.271,160.626,0.496
13,160.626,172.982,0.426
14,172.982,185.338,0.559
15,185.338,197.694,0.416
16,197.694,210.050,0.433
17,210.050,222.406,0.500
18,222.406,234.762,0.469
19,234.762,247.118,0.512
20,247.118,259.473,0.496
21,259.473,271.829,0.422
22,271.829,284.185,0.536
23,284.185,296.541,0.442
24,296.541,308.897,0.499
25,308.897,321.253,0.469
26,321.253,333.609,0.510
27,333.609,345.965,0.574
28,345.965,358.321,0.413
29,358.321,370.676,0.600
