timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,30.110,0.191
1,30.110,60.220,0.312
2,60.220,90.330,0.535
3,90.330,120.440,0.826
4,120.440,150.550,1.058
5,150.550,180.661,0.934
6,180.661,210.771,1.163
7,210.771,240.881,0.607
8,240.881,270.991,0.610
9,270.991,301.101,0.134
10,301.101,331.211,0.117
11,331.211,361.321,0.110
12,361.321,391.431,0.125
13,391.431,421.541,0.239
14,421.541,451.651,0.295
15,451.651,481.762,0.332
16,481.762,511.872,0.476
17,511.872,541.982,0.439
18,541.982,572.092,0.519
19,572.092,602.202,0.577
20,602.202,632.312,0.529
21,632.312,662.422,0.391
22,662.422,692.532,0.330
23,692.532,722.642,0.348
24,722.642,752.752,0.434
25,752.752,782.862,0.437
26,782.862,812.973,0.401
27,812.973,843.083,0.374
28,843.083,873.193,0.110
29,873.193,903.303,0.112
