timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,16.010,0.299
1,16.010,32.021,0.283
2,32.021,48.031,0.302
3,48.031,64.041,0.267
4,64.041,80.051,0.322
5,80.051,96.062,0.282
6,96.062,112.072,0.299
7,112.072,128.082,0.258
8,128.082,144.093,0.293
9,144.093,160.103,0.277
10,160.103,176.113,0.286
11,176.113,192.123,0.276
12,192.123,208.134,0.277
13,208.134,224.144,0.313
14,224.144,240.154,0.261
15,240.154,256.165,0.172
16,256.165,272.175,0.195
17,272.175,288.185,0.330
18,288.185,304.195,0.180
19,304.195,320.206,0.348
20,320.206,336.216,0.361
21,336.216,352.226,0.587
22,352.226,368.237,0.589
23,368.237,384.247,0.553
24,384.247,400.257,0.564
25,400.257,416.267,0.543
26,416.267,432.278,0.542
27,432.278,448.288,0.469
28,448.288,464.298,0.398
29,464.298,480.309,0.284
