timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,18.534,1.204
1,18.534,37.067,0.384
2,37.067,55.601,0.353
3,55.601,74.135,0.788
4,74.135,92.668,0.366
5,92.668,111.202,0.366
6,111.202,129.736,0.744
7,129.736,148.269,0.750
8,148.269,166.803,0.417
9,166.803,185.337,0.721
10,185.337,203.870,0.789
11,203.870,222.404,0.351
12,222.404,240.937,0.769
13,240.937,259.471,0.771
14,259.471,278.005,0.347
15,278.005,296.538,0.361
16,296.538,315.072,0.344
17,315.072,333.606,0.351
18,333.606,352.139,0.367
19,352.139,370.673,0.350
20,370.673,389.207,0.391
21,389.207,407.740,0.718
22,407.740,426.274,0.386
23,426.274,444.808,0.775
24,444.808,463.341,0.334
25,463.341,481.875,0.375
26,481.875,500.409,0.739
27,500.409,518.942,0.858
28,518.942,537.476,0.731
29,537.476,556.010,1.131
