timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,13.140,5.577
1,13.140,26.280,5.824
2,26.280,39.420,5.702
3,39.420,52.560,5.615
4,52.560,65.700,5.776
5,65.700,78.840,5.618
6,78.840,91.980,5.497
7,91.980,105.120,5.830
8,105.120,118.260,5.658
9,118.260,131.400,5.468
10,131.400,144.540,5.883
11,144.540,157.680,5.736
12,157.680,170.820,5.486
13,170.820,183.960,5.776
14,183.960,197.100,5.757
15,197.100,210.240,5.585
16,210.240,223.380,5.670
17,223.380,236.520,5.758
18,236.520,249.660,5.625
19,249.660,262.800,5.811
20,262.800,275.940,5.729
21,275.940,289.080,5.712
22,289.080,302.220,5.708
23,302.220,315.360,5.774
24,315.360,328.500,5.755
25,328.500,341.640,5.723
26,341.640,354.780,5.788
27,354.780,367.920,5.636
28,367.920,381.060,5.770
29,381.060,394.200,6.073
