timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,44.011,2.307
1,44.011,88.021,0.905
2,88.021,132.032,1.454
3,132.032,176.043,1.775
4,176.043,220.053,2.149
5,220.053,264.064,2.110
6,264.064,308.075,2.062
7,308.075,352.085,2.050
8,352.085,396.096,2.016
9,396.096,440.107,2.012
10,440.107,484.117,1.979
11,484.117,528.128,2.933
12,528.128,572.139,3.264
13,572.139,616.149,3.214
14,616.149,660.160,3.135
15,660.160,704.171,3.112
16,704.171,748.181,3.071
17,748.181,792.192,3.017
18,792.192,836.203,2.963
19,836.203,880.213,2.966
20,880.213,924.224,4.046
21,924.224,968.235,4.943
22,968.235,1012.245,4.855
23,1012.245,1056.256,4.819
24,1056.256,1100.267,4.730
25,1100.267,1144.277,4.705
26,1144.277,1188.288,4.874
27,1188.288,1232.299,7.145
28,1232.299,1276.309,7.161
29,1276.309,1320.320,7.146
