timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,3.152,7.767
1,3.152,6.303,6.704
2,6.303,9.455,7.569
3,9.455,12.606,6.536
4,12.606,15.758,6.729
5,15.758,18.910,7.889
6,18.910,22.061,8.472
7,22.061,25.213,7.269
8,25.213,28.364,7.412
9,28.364,31.516,7.560
10,31.516,34.668,6.644
11,34.668,37.819,7.430
12,37.819,40.971,7.110
13,40.971,44.122,6.783
14,44.122,47.274,7.713
15,47.274,50.425,8.223
16,50.425,53.577,7.848
17,53.577,56.729,7.022
18,56.729,59.880,7.311
19,59.880,63.032,7.448
20,63.032,66.183,7.654
21,66.183,69.335,6.489
22,69.335,72.487,6.871
23,72.487,75.638,7.337
24,75.638,78.790,6.941
25,78.790,81.941,7.404
26,81.941,85.093,6.873
27,85.093,88.245,7.250
28,88.245,91.396,6.948
29,91.396,94.548,5.807
