timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,32.733,0.089
1,32.733,65.466,0.107
2,65.466,98.198,0.102
3,98.198,130.931,0.071
4,130.931,163.664,0.076
5,163.664,196.397,0.073
6,196.397,229.130,0.074
7,229.130,261.862,0.079
8,261.862,294.595,0.076
9,294.595,327.328,0.083
10,327.328,360.061,0.136
11,360.061,392.794,0.190
12,392.794,425.526,0.079
13,425.526,458.259,0.079
14,458.259,490.992,0.084
15,490.992,523.725,0.079
16,523.725,556.458,0.078
17,556.458,589.190,0.083
18,589.190,621.923,0.093
19,621.923,654.656,0.131
20,654.656,687.389,0.081
21,687.389,720.122,0.083
22,720.122,752.854,0.083
23,752.854,785.587,0.081
24,785.587,818.320,0.081
25,818.320,851.053,0.082
26,851.053,883.785,0.081
27,883.785,916.518,0.083
28,916.518,949.251,0.090
29,949.251,981.984,0.080
