timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,14.708,6.418
1,14.708,29.415,6.951
2,29.415,44.123,6.534
3,44.123,58.830,7.782
4,58.830,73.538,7.519
5,73.538,88.246,8.481
6,88.246,102.953,7.722
7,102.953,117.661,8.803
8,117.661,132.368,7.753
9,132.368,147.076,6.797
10,147.076,161.784,7.409
11,161.784,176.491,6.657
12,176.491,191.199,8.392
13,191.199,205.906,6.612
14,205.906,220.614,8.002
15,220.614,235.322,7.785
16,235.322,250.029,6.977
17,250.029,264.737,7.346
18,264.737,279.444,6.826
19,279.444,294.152,7.832
20,294.152,308.860,7.714
21,308.860,323.567,6.515
22,323.567,338.275,7.499
23,338.275,352.982,7.331
24,352.982,367.690,6.960
25,367.690,382.398,6.495
26,382.398,397.105,7.139
27,397.105,411.813,7.149
28,411.813,426.520,7.526
29,426.520,441.228,5.743
