timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,34.600,0.586
1,34.600,69.199,0.621
2,69.199,103.799,0.704
3,103.799,138.399,0.678
4,138.399,172.998,0.698
5,172.998,207.598,0.674
6,207.598,242.198,0.685
7,242.198,276.797,0.722
8,276.797,311.397,0.676
9,311.397,345.997,0.712
10,345.997,380.596,0.721
11,380.596,415.196,0.697
12,415.196,449.796,0.681
13,449.796,484.395,0.709
14,484.395,518.995,0.686
15,518.995,553.595,0.733
16,553.595,588.194,0.685
17,588.194,622.794,0.685
18,622.794,657.394,0.692
19,657.394,691.993,0.579
20,691.993,726.593,0.511
21,726.593,761.192,0.542
22,761.192,795.792,0.551
23,795.792,830.392,0.574
24,830.392,864.991,0.581
25,864.991,899.591,0.583
26,899.591,934.191,0.577
27,934.191,968.790,0.577
28,968.790,1003.390,0.765
29,1003.390,1037.990,0.607
