timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,41.574,9.353
1,41.574,83.149,9.661
2,83.149,124.723,9.282
3,124.723,166.297,9.620
4,166.297,207.872,9.343
5,207.872,249.446,9.361
6,249.446,291.020,9.634
7,291.020,332.594,8.901
8,332.594,374.169,9.436
9,374.169,415.743,9.409
10,415.743,457.317,9.784
11,457.317,498.892,8.461
12,498.892,540.466,8.772
13,540.466,582.040,9.187
14,582.040,623.615,8.662
15,623.615,665.189,9.103
16,665.189,706.763,9.252
17,706.763,748.337,9.381
18,748.337,789.912,9.399
19,789.912,831.486,9.682
20,831.486,873.060,9.095
21,873.060,914.635,9.472
22,914.635,956.209,9.435
23,956.209,997.783,9.645
24,997.783,1039.358,8.729
25,1039.358,1080.932,8.493
26,1080.932,1122.506,9.392
27,1122.506,1164.081,9.319
28,1164.081,1205.655,8.869
29,1205.655,1247.229,9.403
