timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,42.243,9.397
1,42.243,84.486,7.226
2,84.486,126.729,10.074
3,126.729,168.972,7.901
4,168.972,211.215,10.997
5,211.215,253.458,9.574
6,253.458,295.701,8.426
7,295.701,337.944,10.547
8,337.944,380.187,7.939
9,380.187,422.430,8.879
10,422.430,464.674,8.010
11,464.674,506.917,8.989
12,506.917,549.160,8.605
13,549.160,591.403,9.401
14,591.403,633.646,9.105
15,633.646,675.889,7.332
16,675.889,718.132,10.002
17,718.132,760.375,8.465
18,760.375,802.618,9.539
19,802.618,844.861,8.659
20,844.861,887.104,8.934
21,887.104,929.347,8.965
22,929.347,971.590,7.088
23,971.590,1013.833,9.785
24,1013.833,1056.076,7.885
25,1056.076,1098.319,10.448
26,1098.319,1140.562,7.660
27,1140.562,1182.805,8.944
28,1182.805,1225.048,8.426
29,1225.048,1267.291,9.544
