timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,38.338,7.873
1,38.338,76.676,7.892
2,76.676,115.014,8.769
3,115.014,153.353,9.142
4,153.353,191.691,8.683
5,191.691,230.029,7.875
6,230.029,268.367,9.327
7,268.367,306.705,9.477
8,306.705,345.043,9.358
9,345.043,383.381,8.070
10,383.381,421.720,8.547
11,421.720,460.058,9.320
12,460.058,498.396,9.055
13,498.396,536.734,8.892
14,536.734,575.072,7.816
15,575.072,613.410,9.233
16,613.410,651.748,9.208
17,651.748,690.087,9.365
18,690.087,728.425,7.953
19,728.425,766.763,8.357
20,766.763,805.101,9.127
21,805.101,843.439,9.146
22,843.439,881.777,8.754
23,881.777,920.115,7.960
24,920.115,958.454,8.923
25,958.454,996.792,9.189
26,996.792,1035.130,9.003
27,1035.130,1073.468,7.974
28,1073.468,1111.806,8.228
29,1111.806,1150.144,8.958
