timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,17.542,6.824
1,17.542,35.085,6.878
2,35.085,52.627,7.023
3,52.627,70.170,7.084
4,70.170,87.712,6.839
5,87.712,105.255,6.833
6,105.255,122.797,6.986
7,122.797,140.340,7.028
8,140.340,157.882,6.952
9,157.882,175.425,6.873
10,175.425,192.967,6.935
11,192.967,210.510,7.082
12,210.510,228.052,6.932
13,228.052,245.595,6.833
14,245.595,263.137,7.006
15,263.137,280.680,6.980
16,280.680,298.222,6.907
17,298.222,315.765,6.850
18,315.765,333.307,7.045
19,333.307,350.849,7.079
20,350.849,368.392,6.885
21,368.392,385.934,6.862
22,385.934,403.477,7.003
23,403.477,421.019,7.037
24,421.019,438.562,6.896
25,438.562,456.104,6.862
26,456.104,473.647,7.002
27,473.647,491.189,7.068
28,491.189,508.732,6.909
29,508.732,526.274,6.616
