timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,31.231,3.731
1,31.231,62.461,4.067
2,62.461,93.692,4.159
3,93.692,124.923,4.147
4,124.923,156.154,4.219
5,156.154,187.384,4.216
6,187.384,218.615,4.133
7,218.615,249.846,4.161
8,249.846,281.077,4.197
9,281.077,312.307,4.155
10,312.307,343.538,4.241
11,343.538,374.769,4.264
12,374.769,406.000,4.136
13,406.000,437.230,4.185
14,437.230,468.461,4.226
15,468.461,499.692,4.138
16,499.692,530.923,4.238
17,530.923,562.153,4.199
18,562.153,593.384,4.131
19,593.384,624.615,4.206
20,624.615,655.846,4.252
21,655.846,687.076,4.164
22,687.076,718.307,4.210
23,718.307,749.538,4.243
24,749.538,780.768,4.176
25,780.768,811.999,4.240
26,811.999,843.230,4.207
27,843.230,874.461,4.162
28,874.461,905.691,4.156
29,905.691,936.922,3.953
