timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,38.540,0.971
1,38.540,77.080,0.999
2,77.080,115.620,0.988
3,115.620,154.159,0.983
4,154.159,192.699,0.968
5,192.699,231.239,1.010
6,231.239,269.779,0.983
7,269.779,308.319,0.996
8,308.319,346.859,1.005
9,346.859,385.399,1.004
10,385.399,423.939,0.999
11,423.939,462.478,0.987
12,462.478,501.018,0.987
13,501.018,539.558,0.969
14,539.558,578.098,0.978
15,578.098,616.638,0.972
16,616.638,655.178,0.979
17,655.178,693.718,0.985
18,693.718,732.257,0.985
19,732.257,770.797,0.992
20,770.797,809.337,0.980
21,809.337,847.877,1.016
22,847.877,886.417,0.963
23,886.417,924.957,0.963
24,924.957,963.497,0.974
25,963.497,1002.036,0.960
26,1002.036,1040.576,0.977
27,1040.576,1079.116,0.973
28,1079.116,1117.656,0.967
29,1117.656,1156.196,0.954
