timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,6.887,4.375
1,6.887,13.774,4.332
2,13.774,20.660,4.555
3,20.660,27.547,4.404
4,27.547,34.434,4.318
5,34.434,41.321,4.453
6,41.321,48.207,4.486
7,48.207,55.094,4.349
8,55.094,61.981,4.415
9,61.981,68.868,4.415
10,68.868,75.754,4.405
11,75.754,82.641,4.423
12,82.641,89.528,4.446
13,89.528,96.415,4.480
14,96.415,103.302,4.429
15,103.302,110.188,4.450
16,110.188,117.075,4.469
17,117.075,123.962,4.514
18,123.962,130.849,4.378
19,130.849,137.735,4.542
20,137.735,144.622,4.385
21,144.622,151.509,4.338
22,151.509,158.396,4.482
23,158.396,165.282,4.418
24,165.282,172.169,4.419
25,172.169,179.056,4.477
26,179.056,185.943,4.468
27,185.943,192.829,4.376
28,192.829,199.716,4.392
29,199.716,206.603,4.066
