timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,7.670,6.731
1,7.670,15.341,6.546
2,15.341,23.011,6.351
3,23.011,30.681,6.530
4,30.681,38.351,6.722
5,38.351,46.022,6.627
6,46.022,53.692,6.331
7,53.692,61.362,6.415
8,61.362,69.033,6.797
9,69.033,76.703,6.636
10,76.703,84.373,6.583
11,84.373,92.043,6.482
12,92.043,99.714,6.703
13,99.714,107.384,6.672
14,107.384,115.054,6.714
15,115.054,122.725,6.530
16,122.725,130.395,6.556
17,130.395,138.065,6.584
18,138.065,145.736,6.636
19,145.736,153.406,6.567
20,153.406,161.076,6.425
21,161.076,168.746,6.484
22,168.746,176.417,6.705
23,176.417,184.087,6.576
24,184.087,191.757,6.598
25,191.757,199.428,6.551
26,199.428,207.098,6.570
27,207.098,214.768,6.645
28,214.768,222.438,6.746
29,222.438,230.109,5.896
