timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,38.805,0.084
1,38.805,77.610,0.078
2,77.610,116.415,0.079
3,116.415,155.220,0.077
4,155.220,194.025,0.080
5,194.025,232.831,0.078
6,232.831,271.636,0.077
7,271.636,310.441,0.080
8,310.441,349.246,0.078
9,349.246,388.051,0.081
10,388.051,426.856,0.077
11,426.856,465.661,0.083
12,465.661,504.466,0.079
13,504.466,543.271,0.078
14,543.271,582.076,0.084
15,582.076,620.882,0.078
16,620.882,659.687,0.088
17,659.687,698.492,0.080
18,698.492,737.297,0.082
19,737.297,776.102,0.082
20,776.102,814.907,0.082
21,814.907,853.712,0.085
22,853.712,892.517,0.081
23,892.517,931.322,0.085
24,931.322,970.127,0.084
25,970.127,1008.933,0.082
26,1008.933,1047.738,0.082
27,1047.738,1086.543,0.079
28,1086.543,1125.348,0.097
29,1125.348,1164.153,0.086
