APP,VSZ(GB),RSS(GB)
623,0.01,0.00
623,0.06,0.05
623,0.09,0.07
623,0.11,0.09
623,0.12,0.11
623,0.13,0.12
623,0.14,0.13
623,0.16,0.15
623,0.17,0.16
623,0.18,0.16
623,0.18,0.17
623,0.18,0.17
623,0.19,0.17
623,0.19,0.18
623,0.19,0.18
623,0.20,0.18
623,0.20,0.19
623,0.20,0.19
623,0.21,0.19
623,0.21,0.20
623,0.22,0.21
623,0.23,0.22
623,0.24,0.22
623,0.24,0.23
623,0.25,0.24
623,0.25,0.24
623,0.26,0.24
623,0.26,0.25
623,0.27,0.25
623,0.27,0.26
623,0.28,0.26
623,0.28,0.26
623,0.28,0.27
623,0.29,0.27
623,0.29,0.27
623,0.29,0.28
623,0.30,0.28
623,0.30,0.28
623,0.30,0.29
623,0.30,0.29
623,0.31,0.29
623,0.32,0.30
623,0.33,0.32
623,0.34,0.33
623,0.35,0.33
623,0.35,0.34
623,0.36,0.34
623,0.36,0.34
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.36,0.35
623,0.38,0.36
623,0.38,0.37
623,0.38,0.37
623,0.40,0.38
623,0.41,0.39
623,0.41,0.39
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.42,0.40
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
623,0.49,0.47
