APP,VSZ(GB),RSS(GB)
sssp_24,6.23,4.08
sssp_24,6.26,4.16
sssp_24,6.27,4.18
sssp_24,6.25,4.15
sssp_24,6.25,4.18
sssp_24,6.25,4.18
sssp_24,4.29,4.03
sssp_24,6.24,4.11
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.25,4.17
sssp_24,4.29,4.09
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.25,4.17
sssp_24,6.23,4.09
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.25,4.18
sssp_24,6.23,4.10
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.11
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.25,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.25,4.13
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.25,4.18
sssp_24,6.24,4.13
sssp_24,6.25,4.18
sssp_24,6.23,4.10
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.25,4.18
sssp_24,6.24,4.12
sssp_24,6.26,4.17
sssp_24,6.23,4.09
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.25,4.17
sssp_24,6.23,4.10
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.26,4.18
sssp_24,6.23,4.10
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.12
sssp_24,6.26,4.17
sssp_24,6.23,4.09
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.11
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.24,4.14
sssp_24,6.25,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.25,4.14
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.25,4.17
sssp_24,6.23,4.09
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.11
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.23,4.09
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.23,4.09
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.26,4.18
sssp_24,6.23,4.10
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.24,4.14
sssp_24,6.25,4.18
sssp_24,6.24,4.11
sssp_24,6.26,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.25,4.17
sssp_24,6.23,4.09
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.26,4.18
sssp_24,6.24,4.10
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.25,4.17
sssp_24,6.23,4.10
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.12
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.25,4.15
sssp_24,6.26,4.18
sssp_24,6.24,4.13
sssp_24,6.25,4.17
sssp_24,6.23,4.10
sssp_24,6.25,4.17
sssp_24,6.26,4.18
sssp_24,6.25,4.16
sssp_24,6.26,4.18
sssp_24,6.24,4.14
sssp_24,6.26,4.18
sssp_24,6.24,4.11
sssp_24,6.26,4.17
sssp_24,6.26,4.18
