bandwidth(GB/s),latency(ns),channel
32.959375,632.04,3
33.3666015625,627.36,3
33.3677734375,602.93,3
33.2220703125,632.73,3
33.10390625,607.99,3
32.99931640625,580.40,3
32.68955078125,460.22,3
26.41162109375,139.05,3
20.2763671875,112.68,3
16.60166015625,88.31,3
12.16044921875,87.71,3
8.8134765625,83.28,3
7.04453125,76.27,3
5.513671875,84.41,3
4.06943359375,76.73,3
3.14892578125,76.25,3
2.46162109375,75.39,3
1.797265625,70.30,3
1.216015625,77.42,3
41.5974609375,184.58,5
42.16845703125,175.91,5
42.25419921875,152.82,5
42.2126953125,181.25,5
42.18798828125,168.27,5
42.2552734375,162.96,5
38.2525390625,135.96,5
26.66357421875,94.52,5
20.37392578125,98.51,5
16.627734375,86.30,5
12.16826171875,87.21,5
8.805859375,84.45,5
6.9791015625,83.05,5
5.6060546875,75.24,5
4.09794921875,74.22,5
3.12373046875,78.72,5
2.428125,78.63,5
1.7251953125,76.51,5
1.2880859375,71.09,5
25.8046875,743.20,2
26.33955078125,778.43,2
26.25068359375,806.12,2
25.97001953125,818.23,2
26.14638671875,812.47,2
26.346484375,761.56,2
26.25849609375,692.99,2
25.69189453125,291.89,2
20.2978515625,109.22,2
16.49423828125,104.90,2
12.169921875,86.48,2
8.77392578125,88.14,2
7.0171875,79.03,2
5.59990234375,75.70,2
4.01279296875,82.56,2
3.1466796875,76.50,2
2.50107421875,72.00,2
1.77197265625,72.36,2
1.30126953125,70.04,2
14.3888671875,1710.65,1
14.569140625,1693.85,1
14.54560546875,1687.32,1
14.52470703125,1668.57,1
14.544921875,1667.00,1
14.49365234375,1618.77,1
14.5240234375,1586.85,1
14.53115234375,1557.28,1
14.5396484375,1431.98,1
14.54658203125,943.91,1
11.998828125,110.10,1
8.7091796875,95.97,1
6.9595703125,84.67,1
5.5203125,83.54,1
4.0490234375,78.70,1
3.1203125,79.03,1
2.48095703125,73.72,1
1.83359375,67.55,1
1.3388671875,67.20,1
41.47939453125,182.31,4
42.28916015625,152.96,4
42.25556640625,171.87,4
42.17802734375,179.18,4
42.2703125,171.94,4
42.233984375,172.30,4
38.38720703125,120.59,4
26.63125,100.42,4
20.443359375,89.30,4
16.69501953125,79.35,4
12.1810546875,85.82,4
8.8779296875,77.01,4
6.99189453125,81.68,4
5.57666015625,77.94,4
4.12060546875,72.27,4
3.12822265625,78.27,4
2.5111328125,71.18,4
1.72236328125,76.78,4
1.2564453125,73.74,4
