bandwidth(GB/s),latency(ns),channel
33.0654296875,773.99,2
32.9158203125,774.65,2
33.18173828125,773.57,2
32.96875,773.48,2
32.753515625,757.51,2
32.9865234375,693.86,2
33.03408203125,527.47,2
26.39189453125,138.60,2
20.2671875,113.24,2
16.48994140625,103.94,2
12.09052734375,97.16,2
8.7298828125,94.00,2
6.90078125,92.58,2
5.45693359375,91.64,2
3.96123046875,88.62,2
3.03779296875,88.29,2
2.3611328125,85.85,2
1.666796875,82.40,2
1.18154296875,80.90,2
45.64814453125,590.67,3
45.8296875,589.97,3
45.75986328125,589.90,3
45.7109375,588.86,3
45.60029296875,584.53,3
45.61064453125,542.13,3
38.3796875,142.58,3
26.56396484375,108.36,3
20.3595703125,100.66,3
16.54599609375,97.75,3
12.1162109375,94.89,3
8.73623046875,93.68,3
6.91044921875,91.84,3
5.46494140625,90.89,3
3.94619140625,90.72,3
3.030859375,89.26,3
2.36767578125,85.06,3
1.6626953125,82.85,3
1.17763671875,81.30,3
60.25537109375,469.81,4
60.74365234375,470.31,4
60.4291015625,471.74,4
60.26171875,466.97,4
60.48935546875,458.35,4
60.24013671875,354.04,4
38.63349609375,114.97,4
26.64521484375,101.24,4
20.394921875,97.58,4
16.57373046875,95.48,4
12.13603515625,93.21,4
8.756640625,91.84,4
6.94462890625,87.97,4
5.49541015625,87.30,4
3.97529296875,87.28,4
3.07734375,83.84,4
2.401171875,81.50,4
1.6779296875,81.30,4
1.18466796875,80.60,4
17.93623046875,1527.08,1
17.92890625,1527.45,1
17.903515625,1528.78,1
17.90419921875,1525.12,1
17.867578125,1513.70,1
17.84697265625,1465.57,1
17.84306640625,1425.71,1
17.83427734375,1328.44,1
17.88232421875,938.79,1
16.28369140625,146.14,1
12.03642578125,103.76,1
8.71552734375,95.10,1
6.90283203125,91.88,1
5.45654296875,91.32,1
3.94375,90.75,1
3.05029296875,86.78,1
2.4013671875,81.35,1
1.74111328125,75.05,1
1.28779296875,71.11,1
59.85576171875,464.53,5
60.16171875,464.37,5
59.8609375,465.75,5
60.0931640625,463.21,5
59.76484375,453.17,5
60.29619140625,349.27,5
38.6130859375,114.60,5
26.633984375,101.09,5
20.3796875,97.66,5
16.564453125,95.83,5
12.1251953125,93.80,5
8.75341796875,91.53,5
6.93916015625,88.10,5
5.49248046875,87.30,5
3.9716796875,87.46,5
3.0794921875,83.43,5
2.4,81.53,5
1.67705078125,81.32,5
1.18896484375,80.13,5
