r:w,bandwidth(GB/s),latency(ns)
1:0,33.69287109375,101.60
1:0,34.31435546875,108.73
1:0,34.2861328125,109.11
1:0,34.3296875,106.57
1:0,34.2826171875,109.89
1:0,34.18046875,118.71
1:0,33.9771484375,105.35
1:0,33.87119140625,105.93
1:0,30.31201171875,114.88
1:0,25.05439453125,111.55
1:0,18.42294921875,111.64
1:0,13.3748046875,89.95
1:0,10.5369140625,87.82
1:0,8.3251953125,81.41
1:0,5.95087890625,80.28
1:0,4.50625,78.43
1:0,3.41845703125,76.44
1:0,2.26103515625,76.72
1:0,1.4943359375,74.32
4:1,32.959375,632.04
4:1,33.3666015625,627.36
4:1,33.3677734375,602.93
4:1,33.2220703125,632.73
4:1,33.10390625,607.99
4:1,32.99931640625,580.40
4:1,32.68955078125,460.22
4:1,26.41162109375,139.05
4:1,20.2763671875,112.68
4:1,16.60166015625,88.31
4:1,12.16044921875,87.71
4:1,8.8134765625,83.28
4:1,7.04453125,76.27
4:1,5.513671875,84.41
4:1,4.06943359375,76.73
4:1,3.14892578125,76.25
4:1,2.46162109375,75.39
4:1,1.797265625,70.30
4:1,1.216015625,77.42
