r:w,bandwidth(GB/s),latency(ns)
1:0,50.70732421875,434.37
1:0,50.69384765625,433.67
1:0,50.658203125,433.75
1:0,50.72529296875,432.43
1:0,50.84189453125,417.94
1:0,50.95791015625,370.40
1:0,50.61591796875,228.79
1:0,39.316015625,127.77
1:0,30.769921875,108.98
1:0,25.17802734375,102.20
1:0,18.51396484375,98.28
1:0,13.3533203125,93.89
1:0,10.506640625,92.54
1:0,8.23916015625,91.97
1:0,5.8625,90.69
1:0,4.41787109375,88.11
1:0,3.3275390625,86.10
1:0,2.19384765625,83.68
1:0,1.41650390625,81.91
4:1,45.64814453125,590.67
4:1,45.8296875,589.97
4:1,45.75986328125,589.90
4:1,45.7109375,588.86
4:1,45.60029296875,584.53
4:1,45.61064453125,542.13
4:1,38.3796875,142.58
4:1,26.56396484375,108.36
4:1,20.3595703125,100.66
4:1,16.54599609375,97.75
4:1,12.1162109375,94.89
4:1,8.73623046875,93.68
4:1,6.91044921875,91.84
4:1,5.46494140625,90.89
4:1,3.94619140625,90.72
4:1,3.030859375,89.26
4:1,2.36767578125,85.06
4:1,1.6626953125,82.85
4:1,1.17763671875,81.30
