r:w,bandwidth(GB/s),latency(ns)
1:0,34.2390625,90.94
1:0,34.33916015625,103.72
1:0,34.33466796875,91.03
1:0,34.38984375,93.90
1:0,34.358203125,95.54
1:0,34.3103515625,97.64
1:0,34.297265625,84.70
1:0,34.17958984375,92.55
1:0,30.541796875,96.58
1:0,25.2685546875,84.77
1:0,18.5876953125,87.44
1:0,13.49384765625,76.95
1:0,10.589453125,80.60
1:0,8.0751953125,87.07
1:0,5.88603515625,84.06
1:0,4.48408203125,80.20
1:0,3.45498046875,73.13
1:0,2.281640625,74.79
1:0,1.530859375,71.21
4:1,41.47939453125,182.31
4:1,42.28916015625,152.96
4:1,42.25556640625,171.87
4:1,42.17802734375,179.18
4:1,42.2703125,171.94
4:1,42.233984375,172.30
4:1,38.38720703125,120.59
4:1,26.63125,100.42
4:1,20.443359375,89.30
4:1,16.69501953125,79.35
4:1,12.1810546875,85.82
4:1,8.8779296875,77.01
4:1,6.99189453125,81.68
4:1,5.57666015625,77.94
4:1,4.12060546875,72.27
4:1,3.12822265625,78.27
4:1,2.5111328125,71.18
4:1,1.72236328125,76.78
4:1,1.2564453125,73.74
