r:w,bandwidth(GB/s),latency(ns)
1:0,33.2765625,181.11
1:0,34.01064453125,163.07
1:0,34.03427734375,175.58
1:0,34.007421875,166.10
1:0,33.85546875,166.67
1:0,33.93212890625,158.32
1:0,33.76708984375,149.84
1:0,33.6560546875,121.53
1:0,30.243359375,114.30
1:0,23.07900390625,109.25
1:0,15.15322265625,100.38
1:0,12.66435546875,91.80
1:0,10.5705078125,83.65
1:0,8.33525390625,80.00
1:0,5.931640625,82.06
1:0,4.55703125,73.59
1:0,3.3974609375,78.37
1:0,2.2962890625,73.51
1:0,1.51787109375,72.28
4:1,25.8046875,743.20
4:1,26.33955078125,778.43
4:1,26.25068359375,806.12
4:1,25.97001953125,818.23
4:1,26.14638671875,812.47
4:1,26.346484375,761.56
4:1,26.25849609375,692.99
4:1,25.69189453125,291.89
4:1,20.2978515625,109.22
4:1,16.49423828125,104.90
4:1,12.169921875,86.48
4:1,8.77392578125,88.14
4:1,7.0171875,79.03
4:1,5.59990234375,75.70
4:1,4.01279296875,82.56
4:1,3.1466796875,76.50
4:1,2.50107421875,72.00
4:1,1.77197265625,72.36
4:1,1.30126953125,70.04
