r:w,bandwidth(GB/s),latency(ns)
1:0,19.41337890625,1126.72
1:0,19.42509765625,1126.78
1:0,19.42001953125,1127.07
1:0,19.43125,1124.41
1:0,19.4173828125,1089.39
1:0,19.42548828125,1007.48
1:0,19.4275390625,964.99
1:0,19.42802734375,909.67
1:0,19.4310546875,847.43
1:0,19.4720703125,755.10
1:0,18.22978515625,162.42
1:0,13.23359375,113.61
1:0,10.44658203125,100.73
1:0,8.2560546875,89.46
1:0,5.93701171875,81.68
1:0,4.51044921875,77.93
1:0,3.42705078125,75.69
1:0,2.3052734375,72.77
1:0,1.53818359375,70.63
4:1,17.93623046875,1527.08
4:1,17.92890625,1527.45
4:1,17.903515625,1528.78
4:1,17.90419921875,1525.12
4:1,17.867578125,1513.70
4:1,17.84697265625,1465.57
4:1,17.84306640625,1425.71
4:1,17.83427734375,1328.44
4:1,17.88232421875,938.79
4:1,16.28369140625,146.14
4:1,12.03642578125,103.76
4:1,8.71552734375,95.10
4:1,6.90283203125,91.88
4:1,5.45654296875,91.32
4:1,3.94375,90.75
4:1,3.05029296875,86.78
4:1,2.4013671875,81.35
4:1,1.74111328125,75.05
4:1,1.28779296875,71.11
