r:w,bandwidth(GB/s),latency(ns)
1:0,38.9169921875,601.97
1:0,38.9234375,600.79
1:0,38.942578125,601.30
1:0,38.92900390625,598.98
1:0,38.9900390625,563.92
1:0,39.0763671875,502.98
1:0,39.04033203125,448.71
1:0,38.05107421875,219.91
1:0,30.60546875,128.15
1:0,25.2130859375,113.82
1:0,18.5765625,99.82
1:0,13.396484375,95.63
1:0,10.55576171875,91.50
1:0,8.283984375,90.36
1:0,5.8958984375,89.19
1:0,4.43408203125,88.14
1:0,3.35322265625,84.45
1:0,2.2119140625,82.35
1:0,1.42998046875,80.78
4:1,33.0654296875,773.99
4:1,32.9158203125,774.65
4:1,33.18173828125,773.57
4:1,32.96875,773.48
4:1,32.753515625,757.51
4:1,32.9865234375,693.86
4:1,33.03408203125,527.47
4:1,26.39189453125,138.60
4:1,20.2671875,113.24
4:1,16.48994140625,103.94
4:1,12.09052734375,97.16
4:1,8.7298828125,94.00
4:1,6.90078125,92.58
4:1,5.45693359375,91.64
4:1,3.96123046875,88.62
4:1,3.03779296875,88.29
4:1,2.3611328125,85.85
4:1,1.666796875,82.40
4:1,1.18154296875,80.90
