r:w,bandwidth(GB/s),latency(ns)
1:0,68.12705078125,356.80
1:0,68.19423828125,357.65
1:0,68.18154296875,356.81
1:0,68.17412109375,355.16
1:0,68.4509765625,333.96
1:0,68.20302734375,266.13
1:0,54.26064453125,129.93
1:0,39.68779296875,108.41
1:0,30.8029296875,100.82
1:0,25.1736328125,99.47
1:0,18.526171875,94.47
1:0,13.35302734375,92.43
1:0,10.5123046875,90.41
1:0,8.25361328125,89.22
1:0,5.91162109375,84.11
1:0,4.463671875,82.41
1:0,3.36396484375,81.72
1:0,2.2125,81.48
1:0,1.42490234375,80.95
4:1,59.85576171875,464.53
4:1,60.16171875,464.37
4:1,59.8609375,465.75
4:1,60.0931640625,463.21
4:1,59.76484375,453.17
4:1,60.29619140625,349.27
4:1,38.6130859375,114.60
4:1,26.633984375,101.09
4:1,20.3796875,97.66
4:1,16.564453125,95.83
4:1,12.1251953125,93.80
4:1,8.75341796875,91.53
4:1,6.93916015625,88.10
4:1,5.49248046875,87.30
4:1,3.9716796875,87.46
4:1,3.0794921875,83.43
4:1,2.4,81.53
4:1,1.67705078125,81.32
4:1,1.18896484375,80.13
